layers,memory,seed,T,mode,cos,rel,norm
2,0,1,8,instant,0.9142794900762099,0.4052435033034862,0.9256049953096299
2,0,1,16,trace,0.9786458948728476,0.20634420463117167,0.9606357570488351
2,0,1,16,instant,0.950753117884606,0.3100497033664901,0.9429193707611613
2,0,1,32,trace,0.9495317110801209,0.3141455456949718,0.9322607609373059
2,0,1,32,instant,0.8277666040322472,0.5620346282207992,0.7949040184621864
2,0,1,64,trace,0.9417840188220372,0.3372932710353385,0.9148778461124605
2,0,1,64,instant,0.7749544471407483,0.6349128979025861,0.7143858308639716
2,0,1,128,trace,0.9471885786767821,0.32126578954898843,0.9277463562009186
2,0,1,128,instant,0.7886860748572123,0.6170691293770431,0.7357714178576567
2,1,1,2,trace,0.9876946551753443,0.15766547237402964,1.0076852205178428
2,1,1,2,instant,0.987491999712028,0.1583800990672841,1.002479357249246
2,1,1,4,trace,0.9781106184870556,0.21105015191986015,1.013357280724985
2,1,1,4,instant,0.9605441289419947,0.27863775585318573,0.97738764992404
2,1,1,8,trace,0.9256665864500981,0.3784926247255819,0.9148982443366158
2,1,1,8,instant,0.9262901496573196,0.38055248078340553,0.8730568138542442
2,1,1,16,trace,0.9468275984624807,0.3411301786629091,1.0601926922458875
2,1,1,16,instant,0.9326727464132201,0.37343795660498913,0.8360623917855223
2,1,1,32,trace,0.9542399529525537,0.3159920093867703,1.0563419379104229
2,1,1,32,instant,0.8691032658951039,0.5025254700407618,0.7803756864886451
2,1,1,64,trace,0.9751803278131751,0.22281329178859172,0.9502407888312607
2,1,1,64,instant,0.785000779328765,0.6337151652420351,0.6515080049786313
2,1,1,128,trace,0.9790162771594751,0.22068464012113856,0.8943178329672113
2,1,1,128,instant,0.7223929819547324,0.7009832620177323,0.6073739332275091
1,0,2,2,trace,0.9999954235556814,0.0030244144864399127,1.0000056327959264
1,0,2,2,instant,0.9972880859699123,0.07394828255636177,0.9900671890922532
1,0,2,4,trace,0.9999918439349242,0.0040520952007957025,1.0000088504690539
1,0,2,4,instant,0.9978188820408493,0.06602994772242515,0.9994346762289669
1,0,2,8,trace,0.9997859154089505,0.020694819939494836,0.9999545953471338
